,Headlines,Date
54,"Large, mid-sized banks report 11-23% loan growth in December quarter. Airtel Payments Bank gets permission to function as scheduled bank from RBI. Bandhan Bank collection efficiency ratio increases to 93 pc in December. ",2022-01-05
55,Bad loans of small finance banks may go up 70-80 bps by FY22-end. SBI: A limited account. ,2022-01-04
56,How l'affaire RBL Bank may impact RBI's equation with entities it regulates. Banking at a crossroads: Why 2022 may well be another reset year. ,2022-01-03
57,Things to watch out for in 2022. Return to normalcy will be the norm in 2022. ,2022-01-02
58,RBL Bank attempts to boost depositors' trust after CEO's sudden exit. ,2022-01-01
59,IDFC First Bank board favours merger with promoter entities. RBL Bank sets up panel to hunt for managing director & CEO. Credit card spends dip 11.6% in November after record show in October. Asheesh Pandey takes charge of Bank of Maharashtra's executive director. NITI Aayog senior advisor Anna Roy among top 30 fintech influencers. ,2021-12-31
60,"Private banks seeing jump in number of online frauds: RBI report. Bank NPAs may go beyond 8% by September 2022, says RBI report. Pvt cryptocurrencies pose immediate risks to customer protection: RBI. SBI to acquire nearly 10% stake in India International Clearing Corporation. IDFC FIRST Bank begins process for 3-way merger; stock ends flat. ",2021-12-30
61,Limits of progress. ,2021-12-29
62,"Pune Police book Saraswat Bank chairman, MD, 6 others in cheating case. RBI approves re-designation of Rajiv Anand as Axis Bank Deputy MD. AU Small Finance Bank inducts ex-RBI deputy governor H R Khan on its board. ",2021-12-28
63,Banking sector set to witness significant reforms in the new year. ,2021-12-26
64,Citicorp Finance reworking business strategy to focus on corporate lending. ,2021-12-25
65,"Technology is causing disruptions in banking, says K V Kamath. Banks need additional $70 bn to back $5- trn GDP: SBI's Dinesh Khara. Merchants seek six more months to meet card data storage norms. ",2021-12-23
66,"YES Bank board approves raising funds up to Rs 10,000 crore. ",2021-12-21
67,"New licensing regime for UCBs on the cards after a 17-year standstill. Governance to groundwork for digital biz, the year that was 2021 for RBI. ",2021-12-20
68,On the cusp of an orbital jump. ,2021-12-19
69,"India is mulling changes in law to cut govt's stake in banks: Report. ICICI Bank raises Rs 5,000 crore debt capital by issuing bonds. Two-day nationwide bank strike ends; services across country hit. SBI's exposure to road sector at Rs 90,000 crore, says Dinesh Khara. ",2021-12-17
70,Top headlines: Byju's may go public; strike cripples banking services. ,2021-12-16
71,State Bank of India attempts to dissuade employees from striking work. ,2021-12-14
72,NHB seeking agency for data on unsold properties across 50 cities. Bank of Maharashtra lowers home loan rate to all-time low of 6.4%. ,2021-12-12
73,Rules on banks' investment portfolios to be revamped first time in 21 years. ,2021-12-09
74,"Ease of doing biz, bank sector support will boost telecom industry: Birla. ",2021-12-08
75,"PSBs recovered Rs 4.18 trn related to frauds, defaults in last 3 fiscals'. ",2021-12-07
76,Privatisation of PSBs: Two-day bank strike from December 16. Dhanlaxmi Bank Part-Time Chairman G Subramonia Iyer submits his resignation. ,2021-12-02
77,"With Farm Laws Repeal Bill & crypto on agenda, winter session begins today. ",2021-11-28
78,"RBI stance signals easier framework for setting up banks, say experts. ",2021-11-27
79,"Wilful defaults Rs 62,000 crore higher than before Covid pandemic. ",2021-11-25
80,Sahakar Bharati may seek tweaks in PMC Bank's draft merger scheme. ,2021-11-24
81,Bad-loan market may see a flurry of activity after lull of past few years. ,2021-11-22
82,Banking sector strong today due to current regime's reforms: PM Modi. Govt to set up working groups to prepare action plan: Bank officials. Strengthening financial sector. ,2021-11-18
83,"Dip in provisions helps PSB profits jump 94% to Rs 17,312 crore in Q2. Banks' core earnings face heat from poor credit growth, low yields on loans. ",2021-11-13
84,"BFSI Summit: Worst is behind, slippages may rise, say India's top bankers. A brave new world of banking. ",2021-11-11
85,"RBI governor, top bankers to bring down curtains on BS-BFSI summit today. ",2021-11-09
86,"Is the sparkle returning? Banks are now better placed to handhold India Inc. Best of BS Opinion: Pratip Chaudhuri's arrest, infinite learning, and more. Utkarsh Small Finance Bank reports Rs 38 cr profit for Apr-Sept FY22. RBI imposes curbs on Maharashtra-based Babaji Date Mahila Sahakari Bank. ",2021-11-08
87,"Credit Suisse takes axe to broking biz after multibillion-dollar losses. Next quarter onwards, hope to see positive growth: PNB Housing Finance CEO. ",2021-11-05
88,"Bank of India profit zooms 100% to Rs 1,051 crore on low provisions. Best of BS Opinion: Towards net zero, banking accountability, and more. ",2021-11-03
89,"SBI ex-chief Pratip Chaudhuri arrested, sent to 14-day judicial custody. Appropriate governance standards at banks needed for public trust: RBI DG. Festive season: Credit card spends jump 57% in September, shows data. Be vigilant to vulnerabilities: RBI governor Shaktikanta Das to banks. Alchemist ARC to move Jaisalmer court against Pratip Chaudhuri's arrest. ",2021-11-02
90,Bankers in a state of shock after former SBI chairman Chaudhuri's arrest. Yes Bank appoints Sharad Sharma non-executive director. ,2021-11-01
91,"BFSI Summit: There's so much to sell, everyone can make money, say experts. IDFC First Bank net profit up nearly 50% at Rs 152 cr in Sep qtr. ",2021-10-30
92,"Punjab National Bank quarterly profit jumps 78% to Rs 1,105 crore. Govt appoints KV Kamath as chairperson of newly set up Rs 20,000-cr DFI. ",2021-10-27
93,Peanut penalty and reputation risks for banks. ,2021-10-25
94,"YES Bank Q2 net up 74% to Rs 225 cr on lower provisions, NII shrinks 23%. ",2021-10-22
95,Banks' microloan portfolio contracts 7% to Rs 2.36 trillion in June quarter. IDBI Bank Q2 net profit surges 75% to Rs 567 cr; NIM improves. ,2021-10-21
96,Gross NPAs of banks may decline to 6.9% by March 2022: Report. ,2021-10-20
97,"BS BFSI Summit: Economic recovery is on but risks lie ahead, say economists. ",2021-10-19
98,Cash going to co-exist with central bank digital currency: Subbarao. ,2021-10-18
