61,"Spike in credit demand from corporate, RAM segments: Indian Bank MD & CEO","February 09, 2022, Wednesday"
62,DCB Bank Q3 net down 21.9% YoY to Rs 75 cr as other income falls,"February 09, 2022, Wednesday"
63,Punjab and Sind Bank post Rs 301 cr net profit in Q3 versus year-ago loss,"February 07, 2022, Monday"
64,City Union Bank Q3 net rises 15% to Rs 196 crore on lower provisioning,"February 04, 2022, Friday"
65,IOB Q3 net profit goes up by 113% as provisions decline sharply,"February 02, 2022, Wednesday"
66,"Beyond the third wave: Rural economy, banking recovery, and more","February 02, 2022, Wednesday"
67,"Govt expects 27% lower dividend at Rs 74,000 cr from RBI and banks in FY'23","February 01, 2022, Tuesday"
68,Banks' loans rose 8% YoY in two weeks to January 14: RBI data,"January 28, 2022, Friday"
69,Punjab National Bank looking to further dilute its stake in UTI Mutual Fund,"January 28, 2022, Friday"
70,Central Bank Q3 profit jumps 69% at Rs 279 cr on core income growth,"January 28, 2022, Friday"
71,Fino Payments Bank net profit rises 116% at Rs 14.1 crore in Dec quarter,"January 27, 2022, Thursday"
72,"Airtel Payments Bank customers' deposit surges 75% to Rs 1,000 cr in 2021","January 27, 2022, Thursday"
73,Wall St: Investors may take shelter in US regional banks as Fed hikes loom,"January 22, 2022, Saturday"
74,Rupee rises 8 paise to close at 74.43 against US dollar on easing oil price,"January 21, 2022, Friday"
75,"Bankers need not have heartburn, LIC staff deserved better pay: AIIEA","January 20, 2022, Thursday"
76,"Tech, banking among sectors that will be the hottest stock picks for 2022","January 19, 2022, Wednesday"
77,PMC Bank merger with Unity Small Finance Bank awaits govt approval,"January 16, 2022, Sunday"
78,SBI hikes interest rates on fixed deposits by up to 10 basis points,"January 15, 2022, Saturday"
79,"Bank credit grows 9.16%, deposits up 10.28%, says RBI data","January 14, 2022, Friday"
80,"REC raises $1,175 million from a consortium of seven banks","January 14, 2022, Friday"
81,"Libor, the most important number in international finance, dies at 52","January 13, 2022, Thursday"
82,State Bank of India raises $300 million of Regulation S Formosa bonds,"January 13, 2022, Thursday"
83,Ex-RBI governor Urjit Patel appointed as vice president of AIIB,"January 11, 2022, Tuesday"
84,SBI invites applications for head of digital banking till January 28,"January 11, 2022, Tuesday"
85,CSB Bank eyes new highs as CEO CVR Rajendran retires on health grounds,"January 10, 2022, Monday"
86,Centre seeks relaxation in promoter shareholding cap for IDBI Bank sale,"January 07, 2022, Friday"
87,RBI hikes threshold for deposits of non-financial small biz customers,"January 07, 2022, Friday"
88,Bandhan Bank collection efficiency ratio increases to 93 pc in December,"January 05, 2022, Wednesday"
89,Airtel Payments Bank gets permission to function as scheduled bank from RBI,"January 05, 2022, Wednesday"
90,"Large, mid-sized banks report 11-23% loan growth in December quarter","January 05, 2022, Wednesday"
91,SBI: A limited account,"January 04, 2022, Tuesday"
92,Bad loans of small finance banks may go up 70-80 bps by FY22-end,"January 04, 2022, Tuesday"
93,Banking at a crossroads: Why 2022 may well be another reset year,"January 03, 2022, Monday"
94,How l'affaire RBL Bank may impact RBI's equation with entities it regulates,"January 03, 2022, Monday"
95,Return to normalcy will be the norm in 2022,"January 02, 2022, Sunday"
96,Things to watch out for in 2022,"January 02, 2022, Sunday"
97,RBL Bank attempts to boost depositors' trust after CEO's sudden exit,"January 01, 2022, Saturday"
98,NITI Aayog senior advisor Anna Roy among top 30 fintech influencers,"December 31, 2021, Friday"
99,Asheesh Pandey takes charge of Bank of Maharashtra's executive director,"December 31, 2021, Friday"
100,Credit card spends dip 11.6% in November after record show in October,"December 31, 2021, Friday"
101,RBL Bank sets up panel to hunt for managing director & CEO,"December 31, 2021, Friday"
102,IDFC First Bank board favours merger with promoter entities,"December 31, 2021, Friday"
103,IDFC FIRST Bank begins process for 3-way merger; stock ends flat,"December 30, 2021, Thursday"
104,SBI to acquire nearly 10% stake in India International Clearing Corporation,"December 30, 2021, Thursday"
105,Pvt cryptocurrencies pose immediate risks to customer protection: RBI,"December 30, 2021, Thursday"
106,"Bank NPAs may go beyond 8% by September 2022, says RBI report","December 30, 2021, Thursday"
107,Private banks seeing jump in number of online frauds: RBI report,"December 30, 2021, Thursday"
108,Limits of progress,"December 29, 2021, Wednesday"
109,AU Small Finance Bank inducts ex-RBI deputy governor H R Khan on its board,"December 28, 2021, Tuesday"
110,RBI approves re-designation of Rajiv Anand as Axis Bank Deputy MD,"December 28, 2021, Tuesday"
111,"Pune Police book Saraswat Bank chairman, MD, 6 others in cheating case","December 28, 2021, Tuesday"
112,Banking sector set to witness significant reforms in the new year,"December 26, 2021, Sunday"
113,Citicorp Finance reworking business strategy to focus on corporate lending,"December 25, 2021, Saturday"
114,Merchants seek six more months to meet card data storage norms,"December 23, 2021, Thursday"
115,Banks need additional $70 bn to back $5- trn GDP: SBI's Dinesh Khara,"December 23, 2021, Thursday"
116,"Technology is causing disruptions in banking, says K V Kamath","December 23, 2021, Thursday"
117,"YES Bank board approves raising funds up to Rs 10,000 crore","December 21, 2021, Tuesday"
118,"Governance to groundwork for digital biz, the year that was 2021 for RBI","December 20, 2021, Monday"
